City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tiksi,RU,71.6872,128.8694,38.73,86,70,2.35,broken clouds
1,Albany,AU,-35.0169,117.8917,55.45,65,79,6.22,broken clouds
2,Usogorsk,RU,63.4106,48.6872,47.25,74,10,4.43,clear sky
3,Tsiombe,MG,-25.3,45.4833,65.88,69,59,5.77,broken clouds
4,Port-aux-Français,TF,-49.35,70.2167,41.18,80,46,30.38,scattered clouds
5,Lázaro Cárdenas,MX,17.9583,-102.2,85.71,55,0,12.86,clear sky
6,Dudinka,RU,69.4058,86.1778,43.54,88,100,24.61,light rain
7,Edinburgh of the Seven Seas,SH,-37.0676,-12.3116,57.15,69,84,15.88,broken clouds
8,Ushuaia,AR,-54.8,-68.3,44.26,87,75,11.5,light rain
9,Grytviken,GS,-54.2811,-36.5092,33.98,93,43,1.5,scattered clouds
10,San Antonio de Palé,GQ,-1.4014,5.6325,78.53,89,85,13.38,overcast clouds
11,Mili,MH,6.0815,171.735,83.71,78,82,13.65,broken clouds
12,Eberswalde,DE,52.8349,13.8195,53.22,75,1,6.73,clear sky
13,Bethel,US,41.3712,-73.414,81.45,71,75,9.22,broken clouds
14,Tshabong,BW,-26.05,22.45,61.45,26,74,9.91,broken clouds
15,Susuman,RU,62.7833,148.1667,59.25,40,100,2.48,overcast clouds
16,Papatowai,NZ,-46.5619,169.4708,48.24,76,79,12.17,broken clouds
17,Sale,AU,-38.1,147.0667,46.89,88,100,2.64,light rain
18,Iqaluit,CA,63.7506,-68.5145,35.33,74,100,2.3,overcast clouds
19,Plesetsk,RU,62.708,40.2916,43.63,44,99,3.6,overcast clouds
20,Waitangi,NZ,-43.9535,-176.5597,54.82,75,0,5.99,light rain
21,Blackmans Bay,AU,-43.0167,147.3167,48.52,84,84,8.77,broken clouds
22,Touros,BR,-5.1989,-35.4608,79.27,73,9,13.87,clear sky
23,Saint Paul Harbor,US,57.79,-152.4072,51.31,71,0,10.36,clear sky
24,Avarua,CK,-21.2078,-159.775,77.05,61,100,6.91,overcast clouds
25,Hohhot,CN,40.8106,111.6522,63.91,54,0,4.47,clear sky
26,Moranbah,AU,-22.0016,148.0466,67.06,80,25,13.24,scattered clouds
27,Georgetown,SH,-7.9333,-14.4167,77.81,73,94,17.81,overcast clouds
28,Port Alfred,ZA,-33.5906,26.891,64.76,45,98,9.73,overcast clouds
29,Rongelap,MH,11.1635,166.8941,80.98,83,100,15.39,light rain
30,Isafjordur,IS,66.0755,-23.124,48.79,79,98,11.39,overcast clouds
31,Atafu Village,TK,-8.5421,-172.5159,83.44,71,94,5.57,overcast clouds
32,Minas de Marcona,PE,-15.2119,-75.1103,60.4,74,0,9.84,clear sky
33,Xinji,CN,37.9028,115.2036,73.8,36,54,8.81,broken clouds
34,Tura,RU,64.2833,100.25,59.88,81,91,14.67,overcast clouds
35,Ilulissat,GL,69.2167,-51.1,30.22,80,75,10.36,broken clouds
36,Yarmouth,CA,43.8335,-66.1156,64.62,77,100,8.05,smoke
37,Port Saint John's,ZA,-31.6229,29.5448,62.37,66,98,7.02,overcast clouds
